variavel,n_total,n_obs,n_missing,pct_missing,n_censurado,pct_censurado,mean,std,min,q25,median,q75,max,skew,kurtosis
DBO,657,642,15,2,15,2,16.64,14.57,0,8,14,20,168,3.774,26.04
OD,657,635,22,3,6,1,5.18,3.849,0,2.28,4.44,7.11,24,1.191,1.864
Nitrato,657,337,320,49,74,22,0.1817,0.7858,0.01,0.01,0.03,0.07,10,8.684,88.9
Nitrogênio Amoniacal Total,657,497,160,24,11,2,5.009,5.946,0,1.33,3.62,6.38,46,3.393,15.91
Fósforo Total,657,624,33,5,0,0,7.746,83.3,0.03,0.6375,0.955,1.353,1200,13.38,182.5
Condutividade,657,635,22,3,0,0,1.919e+04,1.961e+04,12,7340,1.528e+04,2.905e+04,3.701e+05,9.248,160.7
pH,657,639,18,3,0,0,7.87,0.6019,6,7.48,7.8,8.2,10.5,0.7079,1.185
Turbidez,657,631,26,4,0,0,39.77,85.77,0.45,8.085,18,44.27,1310,9.542,115
Temperatura da Água,657,629,28,4,0,0,24.78,3.23,16,22.2,24.1,27,36,0.2429,-0.2364
Sólidos Suspensos Totais,657,157,500,76,0,0,52.57,30.84,3,32,50,65,237,2.604,12.6
Coliformes Termotolerantes,657,494,163,25,30,6,1.803e+05,3.742e+05,18,4125,3.3e+04,1.575e+05,1.6e+06,2.885,7.631
Cianobacterias,657,133,524,80,11,8,9.802,22.4,0.1,0.144,1.067,3.058,111.2,2.996,9.076
Microcistinas,657,52,605,92,4,8,1.491,1.269,0.062,0.3173,1.319,2.3,4.484,0.6762,-0.612
